open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
121.2,123.65,119.45,121.64,18725300.0,300308.SZ,20240819,中际旭创,NA,CNY
123.99,125.18,121.25,121.69,16960500.0,300308.SZ,20240820,中际旭创,NA,CNY
120.2,123.77,120.0,122.22,13381400.0,300308.SZ,20240821,中际旭创,NA,CNY
122.46,123.27,120.47,121.39,10673400.0,300308.SZ,20240822,中际旭创,NA,CNY
120.99,121.48,118.5,119.92,12275300.0,300308.SZ,20240823,中际旭创,NA,CNY
121.8,122.37,112.86,114.34,26366200.0,300308.SZ,20240826,中际旭创,NA,CNY
113.51,115.58,111.72,113.25,16377500.0,300308.SZ,20240827,中际旭创,NA,CNY
113.0,115.51,111.23,112.56,14895200.0,300308.SZ,20240828,中际旭创,NA,CNY
106.77,107.5,102.3,106.64,37485000.0,300308.SZ,20240829,中际旭创,NA,CNY
106.42,110.9,106.33,108.9,31259500.0,300308.SZ,20240830,中际旭创,NA,CNY
108.55,109.37,104.0,104.13,22085800.0,300308.SZ,20240902,中际旭创,NA,CNY
104.15,106.11,103.2,105.31,13014800.0,300308.SZ,20240903,中际旭创,NA,CNY
99.0,103.16,98.0,101.9,31225800.0,300308.SZ,20240904,中际旭创,NA,CNY
101.89,104.01,100.41,101.67,18634600.0,300308.SZ,20240905,中际旭创,NA,CNY
101.0,102.21,99.19,99.42,14485600.0,300308.SZ,20240906,中际旭创,NA,CNY
98.6,102.3,97.76,102.0,19469500.0,300308.SZ,20240909,中际旭创,NA,CNY
102.2,108.73,101.34,106.43,33098800.0,300308.SZ,20240910,中际旭创,NA,CNY
108.38,109.15,105.56,106.18,19611600.0,300308.SZ,20240911,中际旭创,NA,CNY
111.0,112.0,107.9,108.0,22198400.0,300308.SZ,20240912,中际旭创,NA,CNY
108.3,116.7,108.27,115.94,35283900.0,300308.SZ,20240913,中际旭创,NA,CNY
114.0,116.22,113.01,113.64,15117500.0,300308.SZ,20240918,中际旭创,NA,CNY
114.12,114.59,106.66,110.03,27338400.0,300308.SZ,20240919,中际旭创,NA,CNY
111.9,112.5,108.18,109.0,16076300.0,300308.SZ,20240920,中际旭创,NA,CNY
108.18,111.21,107.49,108.9,12615300.0,300308.SZ,20240923,中际旭创,NA,CNY
109.13,122.17,109.13,122.16,36020700.0,300308.SZ,20240924,中际旭创,NA,CNY
